row_id,property_owner,contractor,professional_permit_processor,overall_experience_obtaining_a_permit,use_permit,demo_permit,construction_permit_building_inspection,construction_permit_construction,construction_permit_encroachment_plan_fire,construction_permit_encroachment_plan_planning,construction_permit_permit_extensions,construction_permit_demolition,construction_permit_electrical,construction_permit_gas_hvac,approximately_how_many_permits_do_you_apply_for,was_your_permit_approved,approximately_how_long_did_it_take_from_the_time_you_applied_for_your_permit_to_receiving_an_approval_or_denial,did_someone_assist_you_with_the_permit_application_process,if_yes_in_which_manner_did_your_receive_assistance_check_all_that_apply,how_would_you_rate_your_overall_experience_obtaining_a_permit_from_the_city_of_baltimore,were_you_aware_that_dhcd_provides_online_tutorials_and_training_session_on_the_permitting_process,have_you_ever_utilized_an_of_the_online_tutorials_available_on_the_dhcd_website_to_assist_in_obtaining_your_permit,easy_or_hard_was_it_to_find_the_information_you_need_on_the_application_portal,how_easy_was_it_to_find_the_information_you_need_on_the_application_portal,challenge_poor_communication_response_time,challenge_conflicting_info,challenge_rude_difficult_staff,positive_negative_opinion_of_portal,improve_customer_service,improve_need_brand_new_process
1,TRUE,TRUE,FALSE,very difficult,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5 per year,Yes,30 - 45 days,NA,Phone,Very Difficult,no,no,hard,,TRUE,FALSE,FALSE,positive,TRUE,FALSE
2,TRUE,TRUE,TRUE,very easy,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,6 and above per year,Yes,Greater than 60 days,NA,Message Board,Easy,no,no,easy,,TRUE,FALSE,FALSE,positive,TRUE,FALSE
3,FALSE,TRUE,FALSE,difficult,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2 - 5 per year,Yes,15 - 30 days,NA,Message Board,Difficult,no,no,easy,,FALSE,FALSE,FALSE,NA,FALSE,FALSE
4,TRUE,FALSE,FALSE,somewhat difficult,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1 per year,Yes,15 - 30 days,no,Email,Somewhat difficult,no,no,hard,,FALSE,FALSE,FALSE,negative,TRUE,FALSE
5,TRUE,FALSE,FALSE,very difficult,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,5 per year,Yes,15 - 30 days,NA,Email,Very Difficult,no,no,hard,,FALSE,FALSE,FALSE,NA,FALSE,FALSE
6,TRUE,FALSE,FALSE,very difficult,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,5 per year,Yes,Greater than 60 days,NA,Walk-In In-Person,Very Difficult,yes,no,hard,,FALSE,FALSE,FALSE,NA,FALSE,FALSE
7,TRUE,FALSE,FALSE,easy,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1 per year,Yes,30 - 45 days,NA,Email,Easy,yes,yes,easy,,FALSE,FALSE,FALSE,NA,FALSE,FALSE
8,FALSE,TRUE,FALSE,difficult,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6 and above per year,Yes,15 - 30 days,NA,NA,Somewhat difficult,no,no,easy,,FALSE,FALSE,FALSE,negative,FALSE,FALSE
9,TRUE,FALSE,FALSE,somewhat difficult,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2 - 5 per year,Yes,30 - 45 days,NA,What help? They don’t pick up,Difficult,no,no,hard,,FALSE,FALSE,FALSE,NA,FALSE,FALSE
10,FALSE,FALSE,TRUE,somewhat difficult,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2 - 5 per year,Yes,30 - 45 days,NA,Message Board,Somewhat difficult,yes,no,both,,FALSE,FALSE,FALSE,NA,FALSE,TRUE
